# observed, predict
15.0000,16.3353
15.0000,16.0847
18.0000,17.1895
11.0000,13.6028
17.0000,16.0953
17.0000,16.7960
11.0000,13.9753
12.0000,13.4651
12.0000,13.2410
9.0000,11.7872
14.0000,14.1067
16.0000,16.0329
14.0000,15.4869
14.0000,15.3225
15.0000,15.8383
11.0000,13.8780
20.0000,18.7568
23.0000,21.8823
25.0000,23.4820
22.0000,20.5256
20.0000,18.7044
19.0000,18.0664
15.0000,15.6680
15.0000,15.0047
19.0000,17.4862
17.0000,16.6145
19.0000,17.8597
15.0000,15.7007
20.0000,17.8894
25.0000,22.1886
13.0000,15.1295
23.0000,19.6727
21.0000,19.6126
23.0000,21.1791
32.0000,28.7565
36.0000,32.5049
29.0000,26.1344
37.0000,32.9768
42.0000,38.9289
31.0000,28.6801
33.0000,29.9093
39.0000,35.4407
32.0000,28.8987
32.0000,28.8432
39.0000,35.2859
38.0000,34.2044
42.0000,38.6822
30.0000,27.4980
31.0000,28.1112
32.0000,28.9786
25.0000,24.3319
34.0000,31.5360
53.0000,48.1825
45.0000,40.5027
26.0000,26.0646
32.0000,30.2299
32.0000,30.9129
34.0000,33.4428
14.0000,20.4652
23.0000,22.8073
28.0000,27.6084
25.0000,26.0834
29.0000,29.3563
30.0000,30.1932
38.0000,37.4722
25.0000,27.0090
31.0000,30.7250
24.0000,25.2585
19.0000,21.0541
15.0000,17.5187
28.0000,26.1554
21.0000,22.6878
23.0000,23.9128
21.0000,22.9370
37.0000,36.3147
31.0000,30.7869
35.0000,33.5270
37.0000,35.3892
38.0000,36.0107
33.0000,31.0716
32.0000,29.0912
30.0000,28.6023
30.0000,28.5670
32.0000,30.4547
29.0000,28.6417
28.0000,27.6875
41.0000,39.4116
36.0000,33.5371
31.0000,29.5171
31.0000,28.6363
25.0000,24.0406
24.0000,23.0776
31.0000,29.1053
27.0000,25.8991
27.0000,26.3953
26.0000,25.9091
25.0000,25.6346
26.0000,26.1069
25.0000,25.8444
31.0000,30.7370
25.0000,26.1289
28.0000,27.3896
23.0000,23.7238
18.0000,19.9684
